counter,phone_counter,userID,timestamp,taskSessionID,downTimestamp,timeOnScreen,isValid,downX,downY,upTimestamp,upX,upY,pressure,areaSize,tapHalf
49985,1,peppapig,1570028588,1,106503183,60,1,818.0,715.0,106503243,818.0,715.0,0.764706,0.0,0
49986,2,peppapig,1570028588,1,106503243,95,1,1399.0,689.0,106503338,1320.0,718.0,0.709804,0.0,1
49987,3,peppapig,1570028588,1,106503350,71,1,697.0,797.0,106503421,697.0,797.0,0.647059,0.0,0
49988,4,peppapig,1570028588,1,106503445,95,1,1281.0,819.0,106503540,1307.0,781.0,0.521569,0.0,1
49989,5,peppapig,1570028588,1,106503528,60,1,701.0,841.0,106503588,701.0,913.0,0.694118,0.0,0
49990,6,peppapig,1570028588,1,106503635,72,1,1368.0,831.0,106503707,1368.0,831.0,0.686275,0.0,1
49991,7,peppapig,1570028588,1,106503707,24,1,773.0,876.0,106503731,773.0,876.0,0.603922,0.0,0
49992,8,peppapig,1570028589,1,106504146,48,1,1119.0,848.0,106504194,1170.0,848.0,0.694118,0.0,1
49993,9,peppapig,1570028589,1,106504182,71,1,699.0,846.0,106504253,694.0,889.0,0.682353,0.0,0
49994,10,peppapig,1570028589,1,106504289,84,1,1171.0,866.0,106504373,1171.0,866.0,0.729412,0.0,1
49995,11,peppapig,1570028589,1,106504373,71,1,695.0,966.0,106504444,695.0,966.0,0.709804,0.0,0
49996,12,peppapig,1570028589,1,106504467,72,1,1244.0,886.0,106504539,1244.0,886.0,0.701961,0.0,1
49997,13,peppapig,1570028589,1,106504539,71,1,693.0,954.0,106504610,693.0,954.0,0.709804,0.0,0
49998,14,peppapig,1570028589,1,106504634,72,1,1272.0,885.0,106504706,1272.0,885.0,0.701961,0.0,1
49999,15,peppapig,1570028589,1,106504706,59,1,734.0,1018.0,106504765,734.0,1018.0,0.682353,0.0,0
50000,16,peppapig,1570028589,1,106504801,71,1,1252.0,967.0,106504872,1252.0,963.0,0.713726,0.0,1
50001,17,peppapig,1570028589,1,106504860,71,1,721.0,989.0,106504931,721.0,989.0,0.701961,0.0,0
50002,18,peppapig,1570028589,1,106504967,72,1,1262.0,909.0,106505039,1262.0,909.0,0.65098,0.0,1
50003,19,peppapig,1570028590,1,106505027,83,1,787.0,933.0,106505110,779.0,959.0,0.686275,0.0,0
50004,20,peppapig,1570028590,1,106505134,72,1,1246.0,827.0,106505206,1246.0,827.0,0.74902,0.0,1
50005,21,peppapig,1570028590,1,106505206,71,1,723.0,922.0,106505277,723.0,922.0,0.709804,0.0,0
50006,22,peppapig,1570028590,1,106505313,71,1,1234.0,835.0,106505384,1234.0,835.0,0.721569,0.0,1
50007,23,peppapig,1570028590,1,106505372,96,1,715.0,839.0,106505468,697.0,868.0,0.709804,0.0,0
50008,24,peppapig,1570028590,1,106505480,71,1,1160.0,774.0,106505551,1160.0,774.0,0.74902,0.0,1
50009,25,peppapig,1570028590,1,106505551,84,1,656.0,824.0,106505635,656.0,824.0,0.737255,0.0,0
50010,26,peppapig,1570028590,1,106505658,84,1,1219.0,745.0,106505742,1219.0,745.0,0.729412,0.0,1
50011,27,peppapig,1570028590,1,106505730,83,1,633.0,814.0,106505813,633.0,814.0,0.737255,0.0,0
50012,28,peppapig,1570028590,1,106505837,83,1,1296.0,712.0,106505920,1296.0,712.0,0.741176,0.0,1
50013,29,peppapig,1570028590,1,106505908,72,1,683.0,817.0,106505980,683.0,817.0,0.694118,0.0,0
50014,30,peppapig,1570028591,1,106506015,72,1,1310.0,717.0,106506087,1310.0,713.0,0.768628,0.0,1
50015,31,peppapig,1570028591,1,106506075,83,1,722.0,752.0,106506158,722.0,752.0,0.67451,0.0,0
50016,32,peppapig,1570028591,1,106506194,71,1,1321.0,697.0,106506265,1321.0,697.0,0.784314,0.0,1
50017,33,peppapig,1570028591,1,106506265,60,1,733.0,788.0,106506325,733.0,788.0,0.741176,0.0,0
50018,34,peppapig,1570028591,1,106506361,71,1,1316.0,746.0,106506432,1316.0,746.0,0.776471,0.0,1
50019,35,peppapig,1570028591,1,106506432,60,1,717.0,802.0,106506492,717.0,802.0,0.756863,0.0,0
50020,36,peppapig,1570028591,1,106506527,60,1,1279.0,711.0,106506587,1279.0,711.0,0.713726,0.0,1
50021,37,peppapig,1570028591,1,106506587,71,1,710.0,790.0,106506658,710.0,790.0,0.721569,0.0,0
50022,38,peppapig,1570028591,1,106506694,71,1,1296.0,691.0,106506765,1296.0,691.0,0.686275,0.0,1
50023,39,peppapig,1570028591,1,106506765,71,1,669.0,775.0,106506836,669.0,775.0,0.756863,0.0,0
50024,40,peppapig,1570028591,1,106506872,60,1,1381.0,681.0,106506932,1381.0,681.0,0.792157,0.0,1
50025,41,peppapig,1570028591,1,106506932,59,1,647.0,738.0,106506991,638.384,762.232,0.756863,0.0,0
50026,42,peppapig,1570028592,1,106507039,72,1,1372.0,671.0,106507111,1312.0,698.0,0.803922,0.0,1
50027,43,peppapig,1570028592,1,106507111,70,1,642.0,768.0,106507181,642.0,768.0,0.737255,0.0,0
50028,44,peppapig,1570028592,1,106507217,60,1,1475.0,710.0,106507277,1450.0,701.0,0.741176,0.0,1
50029,45,peppapig,1570028592,1,106507265,83,1,669.0,683.0,106507348,669.0,683.0,0.701961,0.0,0
50030,46,peppapig,1570028592,1,106507384,72,1,1377.0,683.0,106507456,1377.0,683.0,0.701961,0.0,1
50031,47,peppapig,1570028592,1,106507456,71,1,621.0,733.0,106507527,621.0,733.0,0.721569,0.0,0
50032,48,peppapig,1570028592,1,106507563,83,1,1384.0,681.0,106507646,1359.0,687.0,0.713726,0.0,1
50033,49,peppapig,1570028592,1,106507646,71,1,626.0,777.0,106507717,626.0,777.0,0.67451,0.0,0
50034,50,peppapig,1570028592,1,106507753,83,1,1326.0,763.0,106507836,1303.99,765.0,0.721569,0.0,1
50035,51,peppapig,1570028592,1,106507836,48,1,689.0,814.0,106507884,689.0,814.0,0.67451,0.0,0
50036,52,peppapig,1570028592,1,106507931,72,1,1305.0,737.0,106508003,1305.0,737.0,0.729412,0.0,1
50037,53,peppapig,1570028593,1,106507991,71,1,719.0,735.0,106508062,719.0,735.0,0.65098,0.0,0
50038,54,peppapig,1570028593,1,106508110,71,1,1370.0,722.0,106508181,1350.0,730.0,0.768628,0.0,1
50039,55,peppapig,1570028593,1,106508193,72,1,685.0,751.0,106508265,685.0,751.0,0.764706,0.0,0
50040,56,peppapig,1570028593,1,106508300,84,1,1381.0,704.0,106508384,1381.0,704.0,0.784314,0.0,1
50041,57,peppapig,1570028593,1,106508384,59,1,696.0,728.0,106508443,696.0,728.0,0.784314,0.0,0
50042,58,peppapig,1570028593,1,106508491,60,1,1347.0,605.0,106508551,1347.0,605.0,0.913726,0.0,1
50043,59,peppapig,1570028593,1,106508551,59,1,694.0,675.0,106508610,694.0,675.0,0.85098,0.0,0
50044,60,peppapig,1570028593,1,106508657,72,1,1389.0,649.0,106508729,1389.0,649.0,1.0,0.0,1
50045,61,peppapig,1570028593,1,106508729,71,1,718.0,674.0,106508800,718.0,674.0,0.847059,0.0,0
50046,62,peppapig,1570028593,1,106508836,71,1,1477.0,651.0,106508907,1455.0,623.0,0.968628,0.0,1
50047,63,peppapig,1570028593,1,106508907,60,1,721.0,653.0,106508967,721.0,653.0,0.85098,0.0,0
50048,64,peppapig,1570028594,1,106509002,72,1,1504.0,634.0,106509074,1488.0,609.0,0.992157,0.0,1
50049,65,peppapig,1570028594,1,106509074,71,1,726.0,634.0,106509145,726.0,634.0,0.847059,0.0,0
50050,66,peppapig,1570028594,1,106509181,72,1,1523.0,617.0,106509253,1523.0,617.0,0.94902,0.0,1
50051,67,peppapig,1570028594,1,106509253,71,1,710.0,629.0,106509324,710.0,629.0,0.85098,0.0,0
50052,68,peppapig,1570028594,1,106509372,71,1,1472.0,612.0,106509443,1472.0,612.0,0.937255,0.0,1
50053,69,peppapig,1570028594,1,106509443,71,1,704.0,637.0,106509514,704.0,637.0,0.796079,0.0,0
